[COT 2021-02-28 04:08:23] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:23] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:23] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:27] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:09:50] 76561198036774377: Teleported to position <3700.913818, 399.963501, 6037.182129>
[COT 2021-02-28 04:39:28] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<4f4a810>, -1, 30) at <4551.068848, 289.360352, 6396.274414>
[COT 2021-02-28 04:39:30] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<4f15180>, -1, 30) at <4553.907227, 289.274872, 6396.594238>
[COT 2021-02-28 04:39:31] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<fa731230>, -1, 30) at <4552.975586, 289.274872, 6393.241211>
[COT 2021-02-28 04:39:34] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<47e87d30>, -1, 30) at <4551.331543, 289.274872, 6394.334473>
[COT 2021-02-28 04:39:36] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<20af2240>, -1, 30) at <4551.708496, 289.274872, 6393.356934>
[COT 2021-02-28 04:39:37] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<f89f0c80>, -1, 30) at <4554.598633, 289.477448, 6393.635254>
[COT 2021-02-28 04:39:40] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<edcdda60>, -1, 30) at <4552.931641, 289.274872, 6395.593262>
[COT 2021-02-28 04:39:41] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<8f76d0>, -1, 30) at <4553.404785, 289.274872, 6398.132324>
[COT 2021-02-28 04:39:43] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<8eb110>, -1, 30) at <4552.611816, 289.274872, 6398.503418>
[COT 2021-02-28 04:39:45] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<f9db42c0>, -1, 30) at <4548.540527, 289.274872, 6397.656738>
[COT 2021-02-28 04:39:46] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<e1e11460>, -1, 30) at <4546.988770, 289.274872, 6396.703613>
[COT 2021-02-28 04:39:48] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<e1e35e90>, -1, 30) at <4547.202148, 289.274872, 6395.261230>
[COT 2021-02-28 04:39:50] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<e1e3e4c0>, -1, 30) at <4549.694824, 289.274872, 6394.002930>
[COT 2021-02-28 04:39:52] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<fa09bd00>, -1, 30) at <4550.539063, 289.274872, 6395.130859>
[COT 2021-02-28 04:39:54] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<fa08fe50>, -1, 30) at <4550.178711, 289.274872, 6391.486328>
[COT 2021-02-28 04:39:56] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<eac4b8f0>, -1, 30) at <4551.411621, 289.274872, 6392.286133>
[COT 2021-02-28 04:39:57] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<f3a59660>, -1, 30) at <4551.625488, 289.274872, 6393.524902>
[COT 2021-02-28 04:40:00] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<20af3e80>, -1, 30) at <4551.607422, 289.376770, 6393.559570>
[COT 2021-02-28 04:40:01] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<ff35f970>, -1, 30) at <4550.919434, 289.274872, 6393.780762>
