[COT 2021-03-12 02:06:07] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-12 02:06:07] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-12 02:06:07] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-12 02:18:33] 76561198036774377: Teleported to position <1018.734070, 128.102905, 6089.503906>
[COT 2021-03-12 02:18:45] 76561198036774377: Entered the Free Camera
[COT 2021-03-12 02:18:54] 76561198036774377: Left the Free Camera
[COT 2021-03-12 02:29:47] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<7544f530>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:29:47] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<75470df0>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:29:48] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<75479420>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:29:48] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<7547cca0>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:29:48] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<6c3caad0>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:29:48] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<7133bdf0>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:29:49] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<71348ac0>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:30:05] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<758cd6a0>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:30:05] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<7589f110>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
[COT 2021-03-12 02:30:05] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<6aa409b0>, -1, 100) at <11351.208008, 159.043015, 10654.006836>
