[COT 2021-03-20 16:09:26] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 16:09:26] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 16:09:26] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 18:49:44] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<37160780>, -1, 100) at <10711.275391, 76.591492, 14552.381836>
[COT 2021-03-20 18:49:44] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<3715a6c0>, -1, 100) at <10711.275391, 76.591492, 14552.381836>
[COT 2021-03-20 18:49:45] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<3715ff70>, -1, 100) at <10711.275391, 76.591492, 14552.381836>
[COT 2021-03-20 18:49:45] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<3715e740>, -1, 100) at <10711.275391, 76.591492, 14552.381836>
[COT 2021-03-20 18:49:45] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<3715aed0>, -1, 100) at <10711.275391, 76.591492, 14552.381836>
[COT 2021-03-20 18:49:45] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<3715ef50>, -1, 100) at <10711.275391, 76.591492, 14552.381836>
[COT 2021-03-20 18:49:45] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<3715cf10>, -1, 100) at <10711.275391, 76.591492, 14552.381836>
[COT 2021-03-20 18:49:45] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<37160f90>, -1, 100) at <10711.275391, 76.591492, 14552.381836>
[COT 2021-03-20 18:49:46] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<3715f760>, -1, 100) at <10711.275391, 76.591492, 14552.381836>
[COT 2021-03-20 18:50:20] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<37128080>, -1, 100) at <10703.615234, 57.592159, 14373.452148>
[COT 2021-03-20 18:50:21] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<3712d930>, -1, 100) at <10703.615234, 57.592159, 14373.452148>
