[COT 2021-03-06 07:01:01] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:01] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:01] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:30] 76561198036774377: Teleported to position <3724.211182, 401.469482, 6011.561523>
[COT 2021-03-06 07:47:27] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<9196c940>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:27] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<919680b0>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:27] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<91967090>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:28] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<919678a0>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:28] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<919688c0>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:47:28] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<9196a0f0>, -1, 100) at <4776.630371, 339.175232, 10401.820313>
[COT 2021-03-06 07:48:02] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4d0e10d0>, -1, 100) at <4647.320313, 338.989990, 10601.847656>
[COT 2021-03-06 07:48:03] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4d0df8a0>, -1, 100) at <4647.320313, 338.989990, 10601.847656>
[COT 2021-03-06 07:48:03] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4d0e79a0>, -1, 100) at <4647.320313, 338.989990, 10601.847656>
[COT 2021-03-06 07:48:03] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4d0e00b0>, -1, 100) at <4647.320313, 338.989990, 10601.847656>
[COT 2021-03-06 07:48:03] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4d0e99e0>, -1, 100) at <4647.320313, 338.989990, 10601.847656>
[COT 2021-03-06 07:48:03] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4d0ef290>, -1, 100) at <4647.320313, 338.989990, 10601.847656>
[COT 2021-03-06 07:48:04] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4d0ea1f0>, -1, 100) at <4647.320313, 338.989990, 10601.847656>
[COT 2021-03-06 07:48:04] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4d0eea80>, -1, 100) at <4647.320313, 338.989990, 10601.847656>
[COT 2021-03-06 07:48:04] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4d0eda60>, -1, 100) at <4647.320313, 338.989990, 10601.847656>
[COT 2021-03-06 07:48:30] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<7b192540>, -1, 200) at <4827.312988, 339.041992, 10584.614258>
[COT 2021-03-06 07:48:30] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<7b1b01d0>, -1, 200) at <4827.312988, 339.041992, 10584.614258>
[COT 2021-03-06 07:48:30] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<7b1ae290>, -1, 200) at <4827.312988, 339.041992, 10584.614258>
[COT 2021-03-06 07:48:31] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<7b1b09a0>, -1, 200) at <4827.312988, 339.041992, 10584.614258>
[COT 2021-03-06 07:48:31] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<7b1aabe0>, -1, 200) at <4827.312988, 339.041992, 10584.614258>
[COT 2021-03-06 07:48:53] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4ce4ca40>, -1, 100) at <4557.249023, 338.983734, 10741.567383>
[COT 2021-03-06 07:48:53] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4ce4d250>, -1, 100) at <4557.249023, 338.983734, 10741.567383>
[COT 2021-03-06 07:48:54] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4ce51ae0>, -1, 100) at <4557.249023, 338.983734, 10741.567383>
[COT 2021-03-06 07:48:54] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4ce52b00>, -1, 100) at <4557.249023, 338.983734, 10741.567383>
[COT 2021-03-06 07:48:54] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4ce54330>, -1, 100) at <4557.249023, 338.983734, 10741.567383>
[COT 2021-03-06 07:48:55] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4ce4da60>, -1, 100) at <4557.249023, 338.983734, 10741.567383>
[COT 2021-03-06 07:48:55] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4ce55b60>, -1, 100) at <4557.249023, 338.983734, 10741.567383>
[COT 2021-03-06 07:48:55] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4ce5d450>, -1, 100) at <4557.249023, 338.983734, 10741.567383>
