[COT 2021-03-21 19:26:33] 76561198036774377: Spawned Entity Boxed 9x19mm Rounds (AmmoBox_9x19_25rnd<ee7fb6b0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:33] 76561198036774377: Spawned Entity Boxed 9x19mm Rounds (AmmoBox_9x19_25rnd<ee7fafa0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:38] 76561198036774377: Spawned Entity Boxed .45 ACP Rounds (AmmoBox_45ACP_25rnd<ee7fc4d0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:38] 76561198036774377: Spawned Entity Boxed .45 ACP Rounds (AmmoBox_45ACP_25rnd<ee7f4cc0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:38] 76561198036774377: Spawned Entity Boxed .45 ACP Rounds (AmmoBox_45ACP_25rnd<ee7f7720>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:38] 76561198036774377: Spawned Entity Boxed .45 ACP Rounds (AmmoBox_45ACP_25rnd<ee7ffd50>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:39] 76561198036774377: Spawned Entity Boxed .45 ACP Rounds (AmmoBox_45ACP_25rnd<ee808380>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:39] 76561198036774377: Spawned Entity Boxed .45 ACP Rounds (AmmoBox_45ACP_25rnd<ee802ec0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:39] 76561198036774377: Spawned Entity Boxed .45 ACP Rounds (AmmoBox_45ACP_25rnd<ee8035d0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:39] 76561198036774377: Spawned Entity Boxed .45 ACP Rounds (AmmoBox_45ACP_25rnd<ee8117d0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:39] 76561198036774377: Spawned Entity Boxed .45 ACP Rounds (AmmoBox_45ACP_25rnd<ee815050>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:40] 76561198036774377: Spawned Entity Boxed .45 ACP Rounds (AmmoBox_45ACP_25rnd<ee815760>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:28:45] 76561198036774377: Spawned Entity Camo Net (CamoNet<eecdbca0>, -1, 120) at <12400.948242, 49.422634, 5330.826660>
[COT 2021-03-21 19:29:00] 76561198036774377: Spawned Entity AmmoBox_.30Carbine_30Rnd (TWP_AmmoBox_30Carbine_30Rnd<e90e6710>, -1, 100) at <12400.948242, 49.422634, 5330.826660>
[COT 2021-03-21 19:29:00] 76561198036774377: Spawned Entity AmmoBox_.30Carbine_30Rnd (TWP_AmmoBox_30Carbine_30Rnd<e90e8350>, -1, 100) at <12400.948242, 49.422634, 5330.826660>
[COT 2021-03-21 19:29:01] 76561198036774377: Spawned Entity AmmoBox_.30Carbine_30Rnd (TWP_AmmoBox_30Carbine_30Rnd<e9119a50>, -1, 100) at <12400.948242, 49.422634, 5330.826660>
[COT 2021-03-21 19:29:01] 76561198036774377: Spawned Entity AmmoBox_.30Carbine_30Rnd (TWP_AmmoBox_30Carbine_30Rnd<eadf14b0>, -1, 100) at <12400.948242, 49.422634, 5330.826660>
[COT 2021-03-21 19:29:01] 76561198036774377: Spawned Entity AmmoBox_.30Carbine_30Rnd (TWP_AmmoBox_30Carbine_30Rnd<eadbe170>, -1, 100) at <12400.948242, 49.422634, 5330.826660>
[COT 2021-03-21 19:29:01] 76561198036774377: Spawned Entity AmmoBox_.30Carbine_30Rnd (TWP_AmmoBox_30Carbine_30Rnd<eadb7070>, -1, 100) at <12400.948242, 49.422634, 5330.826660>
[COT 2021-03-21 19:29:01] 76561198036774377: Spawned Entity AmmoBox_.30Carbine_30Rnd (TWP_AmmoBox_30Carbine_30Rnd<eadcae40>, -1, 100) at <12400.948242, 49.422634, 5330.826660>
