[COT 2021-04-11 02:53:15] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 02:53:15] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 02:53:15] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 02:53:30] 76561198036774377: Teleported to position <12101.432617, 136.344116, 12370.115234>
[COT 2021-04-11 02:53:34] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 02:55:29] 76561198036774377: Teleported to position <5027.248047, 323.636658, 10578.878906>
[COT 2021-04-11 02:55:33] 76561198036774377: Left the Free Camera
[COT 2021-04-11 02:55:38] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 02:58:17] 76561198036774377: Teleported to position <2729.117920, 209.693573, 5462.570801>
[COT 2021-04-11 02:58:21] 76561198036774377: Left the Free Camera
[COT 2021-04-11 02:58:33] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 02:59:05] 76561198036774377: Teleported to position <3747.796387, 403.124939, 5976.557129>
[COT 2021-04-11 02:59:08] 76561198036774377: Left the Free Camera
[COT 2021-04-11 03:01:45] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 03:01:48] 76561198036774377: Left the Free Camera
[COT 2021-04-11 03:12:08] 76561198036774377: Teleported to position <5388.281738, 309.796509, 5713.710938>
[COT 2021-04-11 03:21:56] 76561198036774377: Spawned Entity Ratnik 6B45 Level 5 (MassRatnik_Black<59f9d9d0>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:21:57] 76561198036774377: Spawned Entity Ratnik 6B45 Level 5 (MassRatnik_Black<59fa1ba0>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:22:01] 76561198036774377: Spawned Entity Ratnik 6B45 Level 5 (MassRatnik_Tan<59fa22f0>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:22:02] 76561198036774377: Spawned Entity Ratnik 6B45 Level 5 (MassRatnik_Tan<59fa38e0>, -1, 100) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:22:12] 76561198036774377: Spawned Entity Ballistic Shield (MassBallisticShield<ef9378a0>, -1, 2000) at <2029.697754, 257.034607, 7312.199707>
[COT 2021-04-11 03:23:55] 76561198036774377: Spawned Entity MVS Altyn Helmet - OD (Mich2001Helmet<eb9b9ef0>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:23:57] 76561198036774377: Spawned Entity MVS Altyn Helmet - Tan (Mich2001Helmet<eb9a1b60>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:23:58] 76561198036774377: Spawned Entity MVS Altyn Helmet - Black (Mich2001Helmet<eb9a3ff0>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:24:00] 76561198036774377: Spawned Entity MVS Altyn Visor - OD (MVS_Altyn_Visor<eb9a9060>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:24:01] 76561198036774377: Spawned Entity MVS Altyn Visor - Tan (MVS_Altyn_Visor<eb9a6480>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:24:02] 76561198036774377: Spawned Entity MVS Altyn Visor - Black (MVS_Altyn_Visor<eb9b3890>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:24:09] 76561198036774377: Spawned Entity MVS Altyn Visor - OD (MVS_Altyn_Visor_Lifted<eb9b55d0>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:24:11] 76561198036774377: Spawned Entity MVS Altyn Visor - Tan (MVS_Altyn_Visor_Lifted<eb9aef70>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:24:12] 76561198036774377: Spawned Entity MVS Altyn Visor - Black (MVS_Altyn_Visor_Lifted<eb9af6c0>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:24:14] 76561198036774377: Spawned Entity MVS Altyn Helmet - OD (Mich2001Helmet<eb9b0560>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:24:15] 76561198036774377: Spawned Entity MVS Altyn Helmet - Tan (Mich2001Helmet<eb9bbc30>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:24:16] 76561198036774377: Spawned Entity MVS Altyn Helmet - Black (Mich2001Helmet<eb9b7310>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:25:06] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<24a22e20>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:25:06] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<24a2c980>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:25:06] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<24a2d090>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:25:06] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<24a2deb0>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:25:06] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<24a2faf0>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:25:06] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<f8c22640>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:25:07] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<f8c47070>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:25:07] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<dcd9c830>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:25:07] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<f9984480>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:25:07] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<ed990080>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:25:07] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<edd87740>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
[COT 2021-04-11 03:25:07] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<eddb4090>, -1, 100) at <2030.908447, 257.029663, 7313.254395>
