[COT 2021-04-17 14:08:41] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:41] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:41] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:48] 76561198036774377: Teleported to position <474.881287, 421.872620, 11194.063477>
[COT 2021-04-17 14:08:52] 76561198036774377: Entered the Free Camera
[COT 2021-04-17 14:12:29] 76561198036774377: Spawned Entity MVS Combat Belt - OD (Modular_Belt_Base<7b2ab1b0>, -1, 100) at <445.511108, 422.849091, 11169.105469>
[COT 2021-04-17 14:12:29] 76561198036774377: Spawned Entity MVS Combat Belt - OD (Modular_Belt_Base<7b2b10c0>, -1, 100) at <445.511108, 422.849091, 11169.105469>
[COT 2021-04-17 14:12:51] 76561198036774377: Spawned Entity MVS Combat Pants - OD (BDUPants<7b2b2e00>, -1, 100) at <446.200134, 422.849091, 11167.673828>
[COT 2021-04-17 14:12:51] 76561198036774377: Spawned Entity MVS Combat Pants - OD (BDUPants<7b2b26b0>, -1, 100) at <446.200134, 422.849091, 11167.673828>
[COT 2021-04-17 14:12:51] 76561198036774377: Spawned Entity MVS Combat Pants - OD (BDUPants<7b2b3550>, -1, 100) at <446.200134, 422.849091, 11167.673828>
[COT 2021-04-17 14:12:51] 76561198036774377: Spawned Entity MVS Combat Pants - OD (BDUPants<7b2b3ca0>, -1, 100) at <446.200134, 422.849091, 11167.673828>
[COT 2021-04-17 14:12:51] 76561198036774377: Spawned Entity MVS Combat Pants - OD (BDUPants<7b2af380>, -1, 100) at <446.200134, 422.849091, 11167.673828>
[COT 2021-04-17 14:12:52] 76561198036774377: Spawned Entity MVS Combat Pants - OD (BDUPants<7b2b59e0>, -1, 100) at <446.200134, 422.849091, 11167.673828>
[COT 2021-04-17 14:12:56] 76561198036774377: Spawned Entity MVS Combat Pants - Black (BDUPants<7b2b9460>, -1, 100) at <449.496857, 422.849091, 11170.507813>
[COT 2021-04-17 14:12:56] 76561198036774377: Spawned Entity MVS Combat Pants - Black (BDUPants<7b2b6fd0>, -1, 100) at <449.496857, 422.849091, 11170.507813>
