[COT 2021-01-20 09:21:55] 76561198036774377: Spawned Entity IV Blood Bag (BloodBagIV<2ede4ea0>, 500, 20) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:55] 76561198036774377: Spawned Entity IV Blood Bag (BloodBagIV<32989af0>, 500, 20) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:56] 76561198036774377: Spawned Entity IV Blood Bag (BloodBagIV<392b6760>, 500, 20) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:56] 76561198036774377: Spawned Entity IV Blood Bag (BloodBagIV<3dc4af20>, 500, 20) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:56] 76561198036774377: Spawned Entity IV Blood Bag (BloodBagIV<35efa6c0>, 500, 20) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:56] 76561198036774377: Spawned Entity IV Blood Bag (BloodBagIV<37c4cbf0>, 500, 20) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:58] 76561198036774377: Spawned Entity IV Start Kit (StartKitIV<37fa9220>, -1, 20) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:58] 76561198036774377: Spawned Entity IV Start Kit (StartKitIV<37fb49c0>, -1, 20) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:58] 76561198036774377: Spawned Entity IV Start Kit (StartKitIV<37fb7420>, -1, 20) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:58] 76561198036774377: Spawned Entity IV Start Kit (StartKitIV<37fb1850>, -1, 20) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:58] 76561198036774377: Spawned Entity IV Start Kit (StartKitIV<37f993e0>, -1, 20) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:21:58] 76561198036774377: Spawned Entity IV Start Kit (StartKitIV<37fa2120>, -1, 20) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:22:18] 76561198036774377: Spawned Entity Epinephrine Auto-Injector (Epinephrine<378da470>, -1, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:22:18] 76561198036774377: Spawned Entity Epinephrine Auto-Injector (Epinephrine<378f1ac0>, -1, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:22:18] 76561198036774377: Spawned Entity Epinephrine Auto-Injector (Epinephrine<378ee240>, -1, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:22:18] 76561198036774377: Spawned Entity Epinephrine Auto-Injector (Epinephrine<378c7bd0>, -1, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:22:19] 76561198036774377: Spawned Entity Epinephrine Auto-Injector (Epinephrine<378d3a80>, -1, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:22:25] 76561198036774377: Spawned Entity Morphine Auto-Injector (Morphine<32b68d40>, -1, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:22:25] 76561198036774377: Spawned Entity Morphine Auto-Injector (Morphine<32b62350>, -1, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:22:25] 76561198036774377: Spawned Entity Morphine Auto-Injector (Morphine<32b70550>, -1, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:22:25] 76561198036774377: Spawned Entity Morphine Auto-Injector (Morphine<3683c510>, -1, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:22:25] 76561198036774377: Spawned Entity Morphine Auto-Injector (Morphine<3dd9bba0>, -1, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:22:25] 76561198036774377: Spawned Entity Morphine Auto-Injector (Morphine<3d8100b0>, -1, 50) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:22:46] 76561198036774377: Spawned Entity Medical Backpack (MountainBag_ColorBase<2a00cc80>, -1, 100) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:22:47] 76561198036774377: Spawned Entity Medical Backpack (MountainBag_ColorBase<2a01e700>, -1, 100) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:22:53] 76561198036774377: Spawned Entity Advanced Medkit (MassMedical_Bag<2a01d8e0>, -1, 100) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:22:54] 76561198036774377: Spawned Entity Advanced Medkit (MassMedical_Bag<2f3d9000>, -1, 100) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:23:01] 76561198036774377: Spawned Entity WaterProof Clothing Bag (MassClothing_Bag<2f3e0100>, -1, 100) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:23:02] 76561198036774377: Spawned Entity WaterProof Clothing Bag (MassClothing_Bag<32273fa0>, -1, 100) at <3449.102783, 292.218872, 8565.931641>
[COT 2021-01-20 09:25:54] 76561198036774377: Teleported to position <8774.792969, 119.800934, 4933.849121>
