[COT 2021-04-11 22:15:30] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 22:15:30] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 22:15:30] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 22:15:41] 76561198036774377: Teleported to position <455.112701, 421.818268, 11200.429688>
[COT 2021-04-11 22:28:42] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c9938890>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:42] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c9939730>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:42] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c9938fe0>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:42] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c993a5d0>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:43] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c9933820>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:43] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c99346c0>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:43] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c9939e80>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:43] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c993ad20>, 1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:29:22] 76561198036774377: Spawned Entity Airsoft M4A1 (M4A1_Base<6bd55c20>, -1, 200) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:22] 76561198036774377: Spawned Entity Airsoft M4A1 (M4A1_Base<6bd58f80>, -1, 200) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:22] 76561198036774377: Spawned Entity Airsoft M4A1 (M4A1_Base<6bd66e20>, -1, 200) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:22] 76561198036774377: Spawned Entity Airsoft M4A1 (M4A1_Base<6bd70840>, -1, 200) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:22] 76561198036774377: Spawned Entity Airsoft M4A1 (M4A1_Base<6bd721f0>, -1, 200) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:23] 76561198036774377: Spawned Entity Airsoft M4A1 (M4A1_Base<6bd5ba50>, -1, 200) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:23] 76561198036774377: Spawned Entity Airsoft M4A1 (M4A1_Base<cdebbd30>, -1, 200) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:23] 76561198036774377: Spawned Entity Airsoft M4A1 (M4A1_Base<cdeb4de0>, -1, 200) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:27] 76561198036774377: Spawned Entity AirSoft Mag M4 (Mag_STANAG_30Rnd<c9940c30>, 1, 100) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:27] 76561198036774377: Spawned Entity AirSoft Mag M4 (Mag_STANAG_30Rnd<c9941380>, 1, 100) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:27] 76561198036774377: Spawned Entity AirSoft Mag M4 (Mag_STANAG_30Rnd<c993d900>, 1, 100) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:27] 76561198036774377: Spawned Entity AirSoft Mag M4 (Mag_STANAG_30Rnd<c993e7a0>, 1, 100) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:28] 76561198036774377: Spawned Entity AirSoft Mag M4 (Mag_STANAG_30Rnd<c9941ad0>, 1, 100) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:28] 76561198036774377: Spawned Entity AirSoft Mag M4 (Mag_STANAG_30Rnd<c9942970>, 1, 100) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:28] 76561198036774377: Spawned Entity AirSoft Mag M4 (Mag_STANAG_30Rnd<c99430c0>, 1, 100) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:28] 76561198036774377: Spawned Entity AirSoft Mag M4 (Mag_STANAG_30Rnd<c993ca60>, 1, 100) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:29] 76561198036774377: Spawned Entity AirSoft Mag M4 (Mag_STANAG_30Rnd<c9949e70>, 1, 100) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:29] 76561198036774377: Spawned Entity AirSoft Mag M4 (Mag_STANAG_30Rnd<c9944e00>, 1, 100) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:29] 76561198036774377: Spawned Entity AirSoft Mag M4 (Mag_STANAG_30Rnd<c9949720>, 1, 100) at <452.772614, 422.889069, 11165.919922>
[COT 2021-04-11 22:29:29] 76561198036774377: Spawned Entity AirSoft Mag M4 (Mag_STANAG_30Rnd<c99463f0>, 1, 100) at <452.772614, 422.889069, 11165.919922>
