[COT 2021-03-20 04:04:27] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:27] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:27] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:30] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:36] 76561198036774377: Entered the Free Camera
[COT 2021-03-20 04:11:13] 76561198036774377: Spawned Entity Jason Machete (Machete<15b4c390>, -1, 200) at <10373.575195, 7.573638, 1669.117920>
[COT 2021-03-20 04:11:36] 76561198036774377: Spawned Entity Human head (ItemBase<15b50a30>, -1, 100) at <10371.613281, 7.891934, 1669.825317>
[COT 2021-03-20 04:11:38] 76561198036774377: Spawned Entity Human head (ItemBase<15b52d80>, -1, 100) at <10371.548828, 8.025589, 1669.718384>
[COT 2021-03-20 04:11:39] 76561198036774377: Spawned Entity Human head (ItemBase<15b51850>, -1, 100) at <10370.949219, 8.057474, 1669.963745>
[COT 2021-03-20 04:11:41] 76561198036774377: Spawned Entity Human head (ItemBase<15b53490>, -1, 100) at <10370.896484, 7.765887, 1669.898315>
[COT 2021-03-20 04:11:42] 76561198036774377: Spawned Entity Human head (ItemBase<15b4bc80>, -1, 100) at <10371.591797, 7.632552, 1669.798462>
[COT 2021-03-20 04:11:43] 76561198036774377: Spawned Entity Human head (ItemBase<15b550d0>, -1, 100) at <10371.585938, 7.573638, 1669.617065>
[COT 2021-03-20 04:11:44] 76561198036774377: Spawned Entity Human head (ItemBase<15b56d10>, -1, 100) at <10371.262695, 7.573638, 1669.478638>
[COT 2021-03-20 04:11:46] 76561198036774377: Spawned Entity Human head (ItemBase<15b557e0>, -1, 100) at <10371.555664, 8.090391, 1670.523193>
[COT 2021-03-20 04:11:47] 76561198036774377: Spawned Entity Human head (ItemBase<15b57420>, -1, 100) at <10371.326172, 8.516984, 1670.430542>
[COT 2021-03-20 04:11:49] 76561198036774377: Spawned Entity Human head (ItemBase<15b58240>, -1, 100) at <10371.358398, 8.118326, 1670.470337>
[COT 2021-03-20 04:11:50] 76561198036774377: Spawned Entity Human head (ItemBase<15b542b0>, -1, 100) at <10371.674805, 7.573638, 1670.254883>
[COT 2021-03-20 04:11:50] 76561198036774377: Spawned Entity Human head (ItemBase<15b53ba0>, -1, 100) at <10371.749023, 7.648565, 1670.137085>
[COT 2021-03-20 04:11:51] 76561198036774377: Spawned Entity Human head (ItemBase<15b549c0>, -1, 100) at <10371.830078, 7.573638, 1669.840454>
[COT 2021-03-20 04:11:53] 76561198036774377: Spawned Entity Human head (ItemBase<15b59060>, -1, 100) at <10372.147461, 7.573638, 1669.698730>
