[COT 2021-03-19 22:06:38] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 22:06:38] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 22:06:38] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 23:10:14] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Yellow<9cf55160>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:14] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Yellow<9cf579b0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:15] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Purple<9cf55970>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:15] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Purple<9cf53120>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:15] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Purple<9cf571a0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:16] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Purple<9cf591e0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:16] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Purple<9cf581c0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:17] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_White<9cf56180>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:17] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_White<9cf589d0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:17] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_White<9cf612e0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:17] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_White<9cf5d260>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:17] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_White<9cf60ad0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:18] 76561198036774377: Spawned Entity EGD-2 Smoke Grenade (RDG2SmokeGrenade_Black<9cf5ba30>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:19] 76561198036774377: Spawned Entity EGD-2 Smoke Grenade (RDG2SmokeGrenade_Black<9cf5c240>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:19] 76561198036774377: Spawned Entity EGD-2 Smoke Grenade (RDG2SmokeGrenade_Black<9cf5a200>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:19] 76561198036774377: Spawned Entity EGD-2 Smoke Grenade (RDG2SmokeGrenade_Black<9cf4d870>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
