[COT 2021-02-06 23:05:14] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-06 23:05:14] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-06 23:05:38] 76561198036774377: Entered the Free Camera
[COT 2021-02-06 23:06:24] 76561198036774377: Teleported to position <1748.491699, 449.989990, 14027.447266>
[COT 2021-02-06 23:23:20] 76561198036774377: Spawned Entity Bag of Future Weed (CP_CannabisBagFuture<cf9335b0>, 1, 30) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:23:21] 76561198036774377: Spawned Entity Bag of S1 Hemp (CP_CannabisBagS1<cf936720>, 1, 30) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:23:22] 76561198036774377: Spawned Entity Bag of S1 Hemp (CP_CannabisBagS1<cf932ea0>, 1, 30) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:23:23] 76561198036774377: Spawned Entity Bag of Nomad Weed (CP_CannabisBagNomad<cf937c50>, 1, 30) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:23:23] 76561198036774377: Spawned Entity Bag of Nomad Weed (CP_CannabisBagNomad<cf93b4d0>, 1, 30) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:23:24] 76561198036774377: Spawned Entity Bag of Black Frost Weed (CP_CannabisBagBlackFrost<cf933cc0>, 1, 30) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:23:24] 76561198036774377: Spawned Entity Bag of Black Frost Weed (CP_CannabisBagBlackFrost<cf939fa0>, 1, 30) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:24:07] 76561198036774377: Entered the Free Camera
[COT 2021-02-06 23:24:09] 76561198036774377: Left the Free Camera
[COT 2021-02-06 23:24:10] 76561198036774377: Entered the Free Camera
[COT 2021-02-06 23:24:31] 76561198036774377: Left the Free Camera
[COT 2021-02-06 23:25:25] 76561198036774377: Entered the Free Camera
[COT 2021-02-06 23:25:41] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<bfb64e20>, -1, 200) at <1659.401123, 451.729980, 14199.305664>
